title,description,categories
در جست‌وجوی معنا؛ رهیافتی معناشناختی در علم اطلاعات,"«در جست وجوی معنا: رهیافتی معناشناختی در علم اطلاعات» اثر دکتر نرگس نشاط است. 
امروزه، هرکس با اطلاعات، محتوا و متن سروکار دارد، نیازمند ابزاری علمی است تا بتواند با کمک آن رویکردی تحلیلی به پیام‌های مخابره شده، اطلاعات انتقالی، محتوا یا متن داشته باشد. ممکن است این سوال پرسیده شود که چه چیزی این احساس نیاز را بوجود می آورد یا سبب تشدید آن می‌شود؟ هر متن یا هر پیامی که ارسال می‌شود دانسته‌های فراوانی در خود نهفته دارد. به همین دلیل باید با آن به عنوان موضوعی شناختی برخورد کرد. معناشناسی به گونه‌ای که مورد نظر کتاب حاضر است، در پی کشف چگونگی سازماندهی این دانسته‌ها و بررسی تاثیر معنایی آنها در گیرنده، خواننده یا شنونده در حوزه علم اطلاعات است. در واقع باید دانست که معنا در کجا و چگونه تولید و سپس بازتولید، تفسیر و فهمیده می‌شود. بنابراین مساله محوری معناست و آن‌چه مستقیم یا غیرمستقیم با آن پیوند دارد. جستجوی معنا با جستجوی امکانات تحقق معنا پیوستگی دارد. این امر ضرورت پرسش درباره ماهیت معنا را برای آزمایش اعتبار در خود دارد: نمی‌دانیم که آیا باید مفهوم معنا را رها کنیم، یعنی معنا را بی‌معنا بدانیم؟ از آنجا که نمی‌خواهیم معنا را به هر قیمتی، به قیمت از دست دادن معنا پیدا کنیم، پس در این کتاب تلاش خواهدشد مبارزه‌ای برای جستجوی معنا بر مبنای راهبرد شناخت معنا آغاز شود...",جامعه‌شناسی
اندوه بالابان,"داستان «اندوه بالابان» مهدی رجبی که مناسب گروه سنی ۹ تا ۱۲ سال است در اولین دوره  جشنواره سپیدار به عنوان اثر برگزیده انتخاب شده است.
 این داستان به  موضوع قاچاق غیر قانونی پرندگان ارزشمندی مانند «بالابان» به کشورهای حاشیه خلیج فارس می‌پردازد.
مندو پسری نوجوان است که روی لنجی به نام شبوت برای ناخدا سمیر کار می‌کند. یکی از روزهایی که قرار است به سمت شارجه بروند، مسافری غریبه با جعبه‌ای بزرگ و مرموز همسفر آن‌ها می‌شود. مندو متوجه می‌شود تعدادی پرنده در داخل جعبه زندانی هستند. او دلش می‌خواهد پرنده‌ها را نجات دهد و از همکاری کردن ناخدا و همکاران دیگرش با مرد غریبه خشمگین است. اما در آخر کار متوجه می‌شود ناخدا ماموران گشت دریایی را خبر کرده تا مرد قاچاقچی را بگیرند و پرندگان را نجات دهند.
متن این کتاب مصور، زیبا و روان است و استفاده از برخی اصطلاحات و کلمات بومی، به خوبی جغرافیای داستان را نشان می‌دهد.",داستان کودک و نوجوانان
مهر تابناک,«مهرتابناک» (جلد اول) شمه‌ای از احوالات و تاریخ حیات آیت الله حاج سیدعلی قاضی طباطبایی در آثار آیت الله علامه محمدحسین حسینی طهرانی با اضافاتی از حاج سیدمحمدمحسن حسینی تهرانی است.,کلیات اسلام
مدیریت خدمات مشتری (تجارت جهانی ۱۸),"«مدیریت خدمات مشتری» یکی دیگر از کتاب‌های مجموعه تجارت جهانی و نوشته ژاک هاروویتز است. 
هاروویتز، استاد راهبرد خدمات، بازاریابی و مدیریت خدمات در IMD بین‌الملل در لوزان سوییس، است. تخصص وی چگونگی ارتقای رضایت مشتری با تاکید برارائه‌ی خدمات به عنوان یک راهبرد برای تفکیک و با تقویت وفاداری مشتری و در نتیجه ایجاد یک فرهنگ خدماتی است. این کتاب نتیجه تحقیقات او در همین زمینه است. 
پروفسور هاروویتز از مدرسه‌ی عالی بازرگانی پاریس در فرانسه فارغ‌التحصیل شد و یک فوق لیسانس و یک دکترا از دانشکده‌ی تحصیلات عالی بازرگانی از دانشگاه کلمبیا در نیویورک دارد. پاداش‌های تحصیلی او شامل کمک هزینه‌ی تحصیلی ساموئل بردنفمن و پاداش برای مدیریت کلی از آموزشگاه مدیریت امریکا می‌شود.
بخشی از کتاب:
یک راه فکر کردن به توسعه؛ بررسی فعالیت‌های مشتری است. این، مجالِ اندیشیدن به آن مزایای طولی اضافی را به ما می‌دهد. اگر شما یک دستگاه تولید بخرید، کارش تولید محصولاتی معین با قیمتی معین برای استفاده‌ی مشتریانی معین است. فروشنده به غیر از فروش دستگاه، می‌تواند چه چیزی را به پیشنهادش اضافه کند؟ شاید قراردادهای مربوط به تعمیرات احتیاطی باشد که امکان استفاده‌ی مستمر از دستگاه را فراهم آورد، یا زمینه‌ی بررسی مشتریان آن را فراهم کند که درنهایت، به فروش محصولاتِ تولیدشده به‌وسیله‌ی این دستگاه‌ها کمک می‌کند.",مدیریت و کسب و کار
رایت دین (بررسی اندیشه و رفتار سیاسی آیت الله العظمی بروجردی),"«رأیت دین» تألیف علی‌اکبر عالمیان است و برای بررسی اندیشه و رفتار سیاسی آیت‌الله العظمی بروجردی  به رشته‌ی تحریر درآمده است. 
نویسنده‌ی کتاب در بخش اول اثر، ابتدا به معرفی این مرجع عظیم‌القدر و زندگی ایشان از تولد تا رحلت می‌پردازد و در بخش دوم، رابطه‌ی آیت‌الله‌العظمی بروجردی را با مقوله‌ی سیاست مورد بررسی قرار می‌دهد. محقق در بخش سوم کتاب با عنوان «آیت‌الله‌العظمی بروجردی و رهبری امت اسلامی» به چند مسئله‌ی مهم از جمله اهمیت به دین و شعائر اسلامی، حفظ کیان حوزه و روحانیت، وحدت مسلمین، تبلیغ دین و مسئله‌ی فلسطین توجه ویژه دارد. بخش چهارم تحقیق، به ارتباط این مرجع با جریان‌های فکری سیاسی روز همچون فدائیان اسلام، جبهه‌ی ملی و بهائیت اختصاص دارد. نویسنده در بخش پایانی کتاب به کیفیت ارتباط این مرجع وارسته با امام خمینی، آیت‌الله کاشانی، محمدرضاشاه و رضاشاه توجه می‌کند.",کلیات اسلام
نگاهی کثرت‌گرایانه به رویکردها و روش‌شناسی‌ها در علوم اجتماعی,"«نگاهی کثرت‌گرایانه به رویکردها و روش‌شناسی‌ها در علوم اجتماعی» توسط دوناتلا دِلاپورتا(   -۱۹۵۶) پژوهشگر علوم سیاسی ایتالیایی استاد جامعه‌شناسی و علوم سیاسی در دانشگاه فلوانس ایتالیا و مایکل کیتینگ(   -۱۹۵۰) کارشناس علوم سیاسی انگلیسی و استاد علوم اجتماعی و سیاسی در دانشگاه ابردین انگلستان گردآوری و تالیف شده است.
این کتاب، پیش‌درآمدی بر رویکردها و روش‌شناسی‌های موجود در علوم اجتماعی است. «رویکرد» واژه‌ای کلی است که از نظریه یا روش‌شناسی فراگیرتر است و دربردارندۀ مقولات معرفت‌شناختی، پرسش‌های مرتبط با نظریۀ دانش، اهداف پژوهش اعم از فهم، تبیین یا ارزیابی هنجاری و نیز «فرانظریه‌هایی» است که نظریه‌های مشخص در درون آنها جای می‌گیرند. 
این واژه، مفروضات بنیادین دربارۀ رفتار انسان اعم از اینکه واحد تحلیل را فرد یا گروه اجتماعی تلقی کنیم و نقش انگاره‌ها و علایق را نیز شامل می‌شود. بخش نخست کتاب به طور خلاصه به معرفی برخی ازاین رویکردها می‌پردازد و علاوه بر نحوۀ شکل‌گیری، موضوعات کلیدی مطرح در هریک ازاین رویکردها را نیز مورد بررسی قرار می‌دهد. این پروژه از جانمایه‌ای کثرت‌گرایانه برخوردار است و ازاین‌رو خوانندگان نباید انتظار داشته باشند که تمامی فصل‌های کتاب در راستای خلق تصویری واحد عمل کنند، بلکه در عوض مقالات ارائه‌شده بازتاب جهت‌گیری‌ها و سنت‌های پژوهشی گوناگون هستند که برخی از هم‌پوشانی برخوردار بوده و برخی در تعارض آشکار با یکدیگرند. 
بخش دوم کتاب به پرسش‌های مرتبط با روش‌شناسی می‌پردازد؛ اینکه چگونه می‌توان یک موضوع پژوهشی را به یک طرح پژوهشی قابل انجام تبدیل کرد و به هنگام انتخاب روش‌های تحقیق باید به کدام گزینه‌های اساسی توجه داشت.",جامعه‌شناسی
بیشعوری؛ راهنمای عملی شناخت و درمان خطرناک‌ترین بیماری تاریخ بشریت,"کتاب بیشعوری نوشته خاویر کرمنت، کتابی با مضمون طنز است که به تجاوز حماقت‌آمیز اما آگاهانه به حقوق دیگران در دنیای کنونی، می‌پردازد. محمود فرجامی این کتاب را به فارسی بازگردانده است.
درباره کتاب بیشعوری
خاویر کرمنت اعتقاد دارد بیشعوری یک بیماری و اعتیاد است، نه بداخلاقی و سوءرفتار؛ بر همین اساس نیز کتابی را تحت عنوان بیشعوری تالیف کرده و به معرفی بیشعوری اززوایای مختلف پرداخته است. درواقع او راهنمای عملی برای شناخت و درمان خطرناک‌ترین بیماری تاریخ بشریت را در اختیار مخاطب قرار داده است.
خاویر کرمنت می‌گوید: احتمالا بارها در جامعه با افرادی برخورد کرده‌اید که برخلاف ظاهر موجه و موقعیت اجتماعی و فرهنگی عالی، آگاهانه به حقوق دیگران تجاوز می‌کنند؛ این افراد به نوعی بیماری به نام بیشعوری دچار هستند. متاسفانه این بیماری در دنیای معاصر به سرعت در حال رشد است. او اعتقاد دارد: بیشعوری حماقت نیست. بیشتر بیشعورها از هوش بالایی برخوردارند و همین هوش و معلومات و گاه موقعیت اجتماعی، آنها را به انسان‌های بیشعور تبدیل می‌کند.
کرمنت پس از آنکه شما را با این واقعیت دردناک جهان کنونی آشنا کرد؛ به دنبال راه حلی برای رفع آن می‌گردد.
خاویر کرمنت می‌گوید خودش تا چهل سالگی از عارضه بیشعوری رنج برده است.اما زمانی که این بیماری را در خود شناسایی کرد، به دنبال رفع آن برآمد؛ پس هیچ‌وقت برای داشتن زندگی سالم و آرام دیر نیست. او تاکید می‌کند: پس از اولین مراحل تشخیص و درمان، به‌سرعت همه چیز در اطرافتان تغییر می‌کند. جایگاه ارزشمندی در جامعه به‌دست می‌آورید و دیگران برای با شما بودن، از هم سبقت می‌گیرند. 
خواندن کتاب بیشعوری را به چه کسانی پیشنهاد می‌کنیم
بیشعوری سورفتار نیست که از آن شرمنده باشیم؛ بلکه بیماری رایج عصر ماست. بنابراین به همه مخاطبان خود پیشنهاد می‌کنیم کتاب  بیشعوری را مطالعه کنند تا درصورت لزوم از آن برای بهبود خود استفاده کنند.
درباره خاویر کرمنت
خاویر کرمنت در دوران جوانی در مقام پزشکی مطرح فعالیت می‌کرد. او به عقیده خودش زندگی حرفه‌ای و خانوادگی موفقی داشت و همه اطرافیانش به او احترام می‌گذاشتند. اما ناگهان زندگی با تمام هیبت و قدرتش در برابر او می‌ایستد و می‌گوید: «تو بیشعوری! حالا وقت آن رسیده تا نتیجه‌ی رفتارهایت را ببینی!». 
همسر، فرزندان و دوستانش، خاویر را ترک می‌کنند و او ناگهان متوجه می‌شود که آن چیزی که آن را احترام و اعتمادبه‌نفس تلقی می‌کرده، چیزی نیست جز ترس و وحشتی که دیگران از او دارند. هیچ‌کس جرات مخالفت با او را نداشته، چون همه از واکنش‌های غیرمنطقی و عجیب‌وغریب او می‌ترسیدند.
خاویر کرمنت تصمیم می‌گیرد این مساله را به‌طور جدی و اصولی برطرف کند. کرمنت ثابت کرد که بی‌شعوری بیماری است و ادعا کرد مانند هر داروی مخدر، اعتیادآور هم هست. نتیجه‌ی تفکرات و تحقیقات کرمنت، در کتابی با عنوان بیشعوری تالیف و در سال ۱۹۹۰ در آمریکا منتشر شد. کرمنت با نوشتن این کتاب، اعتراف‌نامه‌ای نوشته که در آن تکان‌دهنده‌ترین اتفاقات و رفتارها را با شهامت تعریف کرده است. پس از تمام این فراز و نشیب‌ها، کرمنت توانست بار دیگر اعتماد خانواده و دوستانش را جلب و زندگی جدیدی شروع کند. او اکنون به‌عنوان روان‌پزشک بیشعورها، به مردم کمک می‌کند تا بتوانند زندگی بهتر و سالم‌تری داشته باشند.
درباره محمود فرجامی
محمود فرجامی در سال ۱۳۵۶ در مشهد به دنیا آمد. او به‌عنوان روزنامه‌نگار، نویسنده، مترجم، طنزپرداز و پژوهشگر طنز ایرانی فعالیت می‌کند و یکی از مؤسسان و مدیر انجمنِ جهانیِ طنزِ فارسی است. فرجامی دانش‌آموخته ارتباطات (گرایش روزنامه‌نگاری) در مقطع دکتری از دانشگاه علوم مالزی است. او تز دکتری خود را درباره انگیزه‌های تولید طنز سیاسی در ایران نوشت. محمود فرجامی در سال ۱۳۸۹ از ایران خارج شد و در حال حاضر در نروژ زندگی می‌کند
این مترجم و نویسنده ایرانی در سال ۱۳۸۷، کتاب Asshole No More را با عنوان بیشعوری به فارسی ترجمه کرد. هرچند که این کتاب تا سال  ۱۳۹۳ نتوانست مجوز بگیرد، اما پس از انتشار به سرعت به یکی از پرفروش‌ترین کتاب‌ها در ایران تبدیل شد.",جامعه‌شناسی
تناسخ؛ آری یا نه؟,"«تناسخ؛ آری یا نه؟» نقد و بررسی دیدگاه استاد غلامرضا فیاضی در مسئله تناسخ با ابتنای بر اصول و مبانی صدرایی، نوشته ملیحه خدابنده بایگی است. 
نگارنده در این نوشتار، به بررسی، تحلیل و نقد یک به یک نقدهای اندیشمند معاصر،حجت الاسلام والمسلمین، غلامرضا فیاضی درباره تناسخ  پرداخته و تمام آنها را ناتمام دانسته و به تناقضات و مغالطات متعدّدی که در دیدگاه وی  موجود است اشاره کرده و در نظریه او را در این باره رد کرده‌است. 
درتعریف تناسخ در این اثر می‌خوانید: 
تناسخ، مفهوم و معنایی است که مقسم برای اقسام متعدّد و متکثّری قرار گرفته که بعضی از این اقسام در یکدیگر تداخل داشته و بعض دیگر باهم تباین و تغایر دارند. امّا آنچه در ابتدا و آغاز کلام در رابطه با تعریف اجمالی تناسخ می‌توان بیان کرد، آن است که تناسخ، تعلّق نفس به غیر است؛ چه آن غیر، بدن باشد، چه غیر بدن.
تناسخ در تقسیمی‌به دو قسم مُلکی و ملکوتی، انقسام می‌یابد که هرکدام از این دو قسم نیز به دو قسم دیگر منقسم می‌شوند. تناسخ ملکی می‌تواند نزولی باشد و یا صعودی و گاهی هم می‌شود نه نزولی باشد و نه صعودی؛ مثل آنکه از بدن انسان به بدن انسان دیگر منتقل شود. تناسخ ملکوتی هم می‌تواند در باطن انجام گیرد که مبیّن تجسّم اعمال و مصحّح تمثّل صور و ظهور قیامت در دار عقبی است و می‌تواند در ظاهر انجام گیرد، یعنی در عالم طبیعت و در دار دنیا، ظاهر شود.",کلیات اسلام
ساعت‌ها,"رمان «ساعت‌ها» در سال ۱۹۹۸ منتشر شد و در ۱۹۹۹ برنده‌ی جوایز پولیتزر و پن / فاکنر شد. این اثر تحت‌تأثیر و برگرده‌ی رمان «خانم دالووی» از ویرجینیا وولف، نویسنده بزرگ انگلیسی است جان‌مایه‌های رمان متعدد و متنوع است: وظیفه، جنسیت، زیبایی‌شناسی، خلاقیت، مرزهای سیال سلامت جسمی و روانی، حساسیت بیش از حد در برابر زندگی و اضطراب، درآمیختگی نبوغ و جنون، تنهایی و وانهادگی انسان، عشق جنسی و مرگ و خسران و ناکامی، رابطه‌ی نویسنده با خواننده، و…. مایکل کانینگهام (-۱۹۵۲) همه‌ی این‌ها را در قالب نثری خوش‌ساخت و ریزبافت با دقت فراوان نگاشته که گاه حیرت خواننده را برمی‌انگیزد و نشان می‌دهد هنوز رمان توصیفی نمرده‌است. داستان از زبان سه زن تعریف می‌شود، یکی واقعی (نویسنده‌ی بزرگ درگذشته) و دو تن ساختگی. فصل‌های کتاب درهم‌تنیده است و برای خواننده‌ی امروزی که با رمان مدرن و سینما آشنایی دارد راحت و روان است. یک روز ژوئن از زندگی هر زن انتخاب شده‌است. اما چون سه نفرند و در سه زمان و مکان مختلف زندگی می‌کنند، بنابراین روایت در سه روز رخ می‌دهد، به‌اضافه‌ی پیش‌درآمد که روزِ مرگ ویرجینیا وولف در ۱۹۴۱ است:
عزیزم،
به‌یقین باز به سرم زده.
به‌نظرم نمی‌توان زمانه‌ی هولناک دیگری را از سر گذراند.
این‌بار دیگر حالم خوب نمی‌شود.
صداهایی در گوشم می‌پیچد و نمی‌توانم حواسم را جمع کنم.
پس دست به کاری می‌زنم که به‌نظرم بهتر است.
تو بزرگ‌ترین سعادت ممکن را نصیبم کرده‌ای.
تو از هر لحاظ سنگ تمام گذاشته‌ای.
تا این بیماری ناجور سراغم نیامده بود، کسی از ما دوتا خوشبخت‌تر نبود.
دیگر نمی‌توانم با آن دربیفتم، می‌دانم که زندگیت را خراب می‌کنم، و بی‌من می‌توانی کار کنی.
می‌دانم که کار می‌کنی.
می‌بینی که حتی این را هم نمی‌توانم درست بنویسم.
نمی‌توانم چیزی بخوانم.
آن‌چه می‌خواهم بگویم، این است که همه‌ی سعادت زندگیم را مدیون توام.
تو با من صبوری کرده‌ای و خوبیت باورنکردنی بود.
می‌خواهم بگویم که... همه این را می‌دانند.
تنها کسی که می‌توانست نجاتم دهد، تو بوده‌ای.
غیر از قطعیت خوبی تو، همه‌چیز از وجودم رخت بربسته.
بیش از این نمی‌توانم زندگی تو را ویران کنم.
فکر نمی‌کنم هیچ زوجی پیدا شوند که به‌اندازه‌ی ما سعادتمند بوده باشند...",رمان
دور از خانه,«دور از خانه» به قلم بهروز رضایی‌کهریز (-۱۳۴۷) و تصویرگری نیلوفر برومند (-۱۳۶۶) جلد پنجماز مجموعه‌ی «قصه‌های خدا» است که به روایت زندگانی حضرت یوسف برای کودکان و نوجوانان می‌پردازد.,داستان کودک و نوجوانان
مائده‌های زمینی,"پل گیوم آندره ژید (۱۹۵۱- ۱۸۶۹)، نویسنده فرانسوی برنده  نوبل ادبیات است.
«مائده‌های زمینی» کتابی است در ستایش شادی، شوق به زندگی و غنیمت شمردن لحظات.
 آندره ژید در این کتاب خداوند را در همه موجودات هستی متجلی می‌بیند و آزادانه و برخلاف قید و بندهای مذهب، عشق به هستی را مترادف عشق به خداوند می‌داند. او کتابش را «ستایشی از وارستگی» می‌نامد.
 با اینکه این کتاب از آثار دوره جوانی نویسنده است، تقریباً تمام آنچه می‌توان فلسفه وی نامید در آن گنجانده شده و هرچه بعداً نوشته در تعقیب اندیشه‌هایی است که در این کتاب بیان شده؛ یعنی امتناع از هر گونه علاقه و وابستگی و ستایش شور و عشق و نگاهی هر لحظه نو به تمام جلوه‌های هستی.
 ریشه اندیشه‌های این کتاب را در «کتاب مقدس» و نوشته‌های نیچه، فیلسوف شهیر آلمانی، باید جست. نشانه‌هایی از تأثیر ادبیات مشرق زمین نیز در آن دیده می‌شود.
 او در این کتاب چنین استدلال می‌کند که تمام امیال طبیعی، سودمند بوده و مایه تندرستی است و بدون این امیال، زندگی لطف خود را از دست می‌دهد.
در بخشی از کتاب می‌خوانیم:
« وقتی از عملی لذت می‌برم، برای من دلیل خوبی است که آن عمل را انجام بدهم... مادامی که لبانت برای بوسیدن هنوز شیرین است، سیراب کن. چنان زندگی کن که زندگی‌ات بدون ترس از نتایج محرماتی که اخلاقیات رسمی بر تو تحمیل می‌کند، پذیرای هر رویدادی باشد».
هرچند ژید خطر افراط کاری را به خواننده کتاب خود هشدار می‌دهد و در آخر از او می‌خواهد که:
 «کتاب مرا به دور بینداز، مگذار متقاعدت کند! گمان مبر که حقیقت تو را کس دیگری می‌تواند برایت پیدا کند... به خود بگو که این کتاب هم چیزی نیست، مگر یکی از هزاران شیوه رویارویی با زندگی. تو راه خویش را بجوی!»",رمان
انگشت جادویی و داستان آسانسور بزرگ شیشه‌ای,"«انگشت جادویی و داستان آسانسور بزرگ شیشه‌ای» از مجموعه داستان‌های عجیب آقای دال، نوشته رولد دال، نویسنده معروف حوزه ادبیات کودکان است. 
رولد دال در ۱۹۱۶ متولد شد و از کودکی عاشق داستان و کتاب بود. اساس قصه‌هایش را از افسانه هایی که مادرش برایش تعریف می‌کرد به علاوه ماجراهایی که برای خودش اتفاق افتاده بود می‌گرفت. از مهم‌ترین آثار او می‌توان به «چارلی و کارخانه شکلات‌سازی»، «جیمز و هلوی غول پیکر»، و«ماتیلدا و داستان‌های چشم‌نداشتنی» اشاره کرد. بیشتر آثار دال به فیلم درآمده‌اند.
علاوه بر داستان، او سه مجموعه شعر به نام‌های «حیوانات پلید»، «شعرهای دل به همزن» و «شعرهای دست اول» نیز برای کودکان سروده است. فیلم‌ها و انیمیشن‌های ساخته شده از داستان‌های رولد دال تا کنون مورد استقبال کودکان در سراسر دنیا بوده است. شخصیت‌های کودک و خردسال داستان‌های دال با آدم بزرگ‌هایی که با آنها بدرفتاری می‌کنند، در کشمکش‌اند و معمولا یک آدم بزرگ خوب با آدم‌ها یا آدم بد داستان می‌جنگد.
 رولد دال که یکی از نویسندگان پرفروش دنیا است در نوامبر سال ۱۹۹۰ در ۷۴ سالگی درگذشت و در سال ۲۰۰۲ گالری کودکان رولد دال به افتخار او در موزه اشرافی شهر گریت میسندن، ایالت باکینگ همپشایر انگلستان افتتاح شد که هدفش آموزش هنر ادبیات برمبنای نوشته‌های رولد دال است. جایزه‌ی the Roald Dahl funny Prize هم به افتخار او هر سال به نویسندگان کتاب‌های طنز کودک و نوجوان اهدا می‌شود. 
داستان انگشت جادویی درباره دختری ۸ ساله است که تنها تفاوتش با دخترهای دیگر این است که هر وقت عصبانی می شود سر انگشتش گزگز می‌کند و تبدیل به انگشتی جادویی می‌شود که با آن کارهای خارق العاده ای می‌کند. در این داستان او با انگشتش همسایه‌اش را که شکارچی ماهری است به خاطر شکار حیوانات تنبیه می‌کند.
این داستان بدون پند و نصیحت، با برانگیختن تخیل و زبانی طنزآمیز به کودک نشان می‌دهد که پرنده‌ها و جانوران هم زندگی کردن را دوست دارند. 
داستان آسانسور بزرگ شیشه‌ای درباره چارلی است که با خانواده‌اش سوار یک آسانسور بزرگ اسرارآمیز و فضایی می‌شوند که ناگهان سروکله یک سفینه فضایی بزرگ پیدا می‌شود که می‌خواهد مسافرانش را به اولین هتل فضایی تاریخ برساند.
داستان‌های رولد دال با روایتی جذاب و دلنشین، پرداختی ماهرانه و شوخ‌طبعی پنهان و واقع بینانه، تخیل سازنده کودکان را تقویت و آنها را به خواندن و خواندن و شاید نوشتن قصه علاقه‌مند می‌کنند.",داستان کودک و نوجوانان
